ep_idx,env_name,seed,provider,model,variant,confidence,plausibility,goal_progress,specificity,parse_ok,cf_pos_x,cf_pos_y,cf_pos_z,cf_act_dx,cf_act_dy,cf_act_dz,cf_act_grip,explanation_snippet
0,FetchPickAndPlace-v4,50000,anthropic,claude-opus-4-7,narrative,0.8,0.9,0.6,0.5,1,,,,,,,,"The robot should have lowered its gripper down to the black block and closed the gripper to grasp it, instead of retract"
0,FetchPickAndPlace-v4,50000,anthropic,claude-opus-4-7,action,0.6,0.6,0.3,0.7,1,,,,0.3,-0.2,-0.4,-1.0,The arm retracted away from the block instead of descending to grasp it; it should move forward-right and down toward th
0,FetchPickAndPlace-v4,50000,anthropic,claude-opus-4-7,achieved_goal,0.6,0.5,1.0,0.6,1,1.358751893043518,0.8798841238021851,0.42489221692085266,,,,,"At the midpoint of the episode, the gripper should have already grasped the block and moved it to the target location so"
0,FetchPickAndPlace-v4,50000,anthropic,claude-opus-4-7,all,0.6,0.85,0.8,0.9,1,1.3,0.75,0.43,0.3,0.6,-0.5,-1.0,The gripper retreated upward without grasping the block; it should have descended onto the block and closed the gripper 
0,FetchPickAndPlace-v4,50000,anthropic,claude-sonnet-4-5,narrative,0.95,0.9,0.7,0.5,1,,,,,,,,The robot should have closed its gripper to grasp the black block before lifting upward.
0,FetchPickAndPlace-v4,50000,anthropic,claude-sonnet-4-5,action,0.85,0.75,0.2,0.7,1,,,,0.0,0.0,-0.6,-1.0,The gripper is positioned above the black block but moving away instead of descending to grasp it; the robot should move
0,FetchPickAndPlace-v4,50000,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.9,0.95,0.8,1,1.358,0.88,0.5,,,,,"At the midpoint of the episode, the object should be lifted above the table and positioned horizontally near the target "
0,FetchPickAndPlace-v4,50000,anthropic,claude-sonnet-4-5,all,0.92,0.85,0.5,0.8,1,1.358751893043518,0.8798841238021851,0.5,0.0,0.0,0.6,-1.0,"The robot should have lifted the grasped block upward with a closed gripper instead of moving horizontally, as the block"
1,FetchPickAndPlace-v4,50034,anthropic,claude-opus-4-7,narrative,0.7,0.85,0.6,0.4,1,,,,,,,,"The robot should have moved the gripper laterally to align directly above the block and lowered onto it before closing, "
1,FetchPickAndPlace-v4,50034,anthropic,claude-opus-4-7,action,0.6,0.5,0.2,0.7,1,,,,0.4,-0.3,-0.2,-1.0,At Frame 2 the gripper is hovering left of the block; move right/forward and down toward the block while closing the gri
1,FetchPickAndPlace-v4,50034,anthropic,claude-opus-4-7,achieved_goal,0.6,0.9,0.85,0.8,1,1.4087731838226318,0.7451496124267578,0.5,,,,,"At the midpoint, the gripper should have grasped the block and lifted it toward the target's xy location at a slightly e"
1,FetchPickAndPlace-v4,50034,anthropic,claude-opus-4-7,all,0.6,0.75,0.4,0.8,1,1.3,0.75,0.43,0.4,-0.1,-0.3,-1.0,At the midpoint the gripper was hovering left of the block instead of descending onto it; it should have moved right and
1,FetchPickAndPlace-v4,50034,anthropic,claude-sonnet-4-5,narrative,0.95,0.9,0.7,0.5,1,,,,,,,,"The robot should have closed the gripper to grasp the block before retracting upward, as it lifted without securing the "
1,FetchPickAndPlace-v4,50034,anthropic,claude-sonnet-4-5,action,0.85,0.4,0.2,0.6,1,,,,0.8,0.0,0.0,-1.0,The robot retracted away from the block prematurely; it should have continued moving forward toward the block while keep
1,FetchPickAndPlace-v4,50034,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.9,0.85,0.8,1,1.409,0.745,0.5,,,,,"At the halfway point, the object should be lifted above the table and positioned directly above the target location to a"
1,FetchPickAndPlace-v4,50034,anthropic,claude-sonnet-4-5,all,0.92,0.85,0.6,0.9,1,1.34,0.75,0.5,0.85,0.15,0.45,-1.0,The robot should have maintained a closed gripper while moving the grasped object upward and toward the goal position in
2,FetchPickAndPlace-v4,50051,anthropic,claude-opus-4-7,narrative,0.85,0.85,0.8,0.5,1,,,,,,,,"Instead of moving up and away from the block, the robot should have lowered the gripper onto the block and closed the gr"
2,FetchPickAndPlace-v4,50051,anthropic,claude-opus-4-7,action,0.6,0.3,0.2,0.7,1,,,,-0.3,-0.5,-0.6,-1.0,The gripper drifted right and up away from the block; it should move left/back and down toward the block while closing t
2,FetchPickAndPlace-v4,50051,anthropic,claude-opus-4-7,achieved_goal,0.6,,,,1,1.257919192314148,0.82340008020401,0.6285263299942017,,,,,"At ~50% through the episode, the gripper should have already grasped the block and lifted it to the desired_goal locatio"
2,FetchPickAndPlace-v4,50051,anthropic,claude-opus-4-7,all,0.6,,,,1,1.2,0.75,0.45,-0.3,-0.4,-0.8,1.0,At the midpoint the gripper drifted up and away from the block instead of descending onto it; it should move down and ba
2,FetchPickAndPlace-v4,50051,anthropic,claude-sonnet-4-5,narrative,0.92,0.9,0.6,0.4,1,,,,,,,,The robot should have descended further to make contact with and grasp the block on the table before attempting to lift.
2,FetchPickAndPlace-v4,50051,anthropic,claude-sonnet-4-5,action,0.85,0.4,0.2,0.7,1,,,,0.0,0.0,-0.6,-1.0,The gripper is moving away from the block instead of descending to grasp it; the robot should move downward and close th
2,FetchPickAndPlace-v4,50051,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.9,0.85,0.8,1,1.257,0.823,0.5,,,,,"At the midpoint of the episode, the object should be lifted off the table and positioned horizontally at the target coor"
2,FetchPickAndPlace-v4,50051,anthropic,claude-sonnet-4-5,all,0.92,0.4,0.2,0.6,1,1.257919192314148,0.82340008020401,0.6285263299942017,0.0,0.0,0.0,-1.0,"The gripper should have closed firmly on the block while positioned directly above it, but instead moved away without gr"
3,FetchPickAndPlace-v4,50068,anthropic,claude-opus-4-7,narrative,0.7,0.85,0.6,0.5,1,,,,,,,,"At Frame 2, the gripper was positioned over the block but should have lowered further and closed the gripper fingers to "
3,FetchPickAndPlace-v4,50068,anthropic,claude-opus-4-7,action,0.6,,,,1,,,,0.2,-0.3,-0.2,-1.0,At Frame 2 the gripper is above/near the block but hasn't descended and closed on it; the robot should move down and sli
3,FetchPickAndPlace-v4,50068,anthropic,claude-opus-4-7,achieved_goal,0.0,,,,0,,,,,,,,"VLM call/parse failed: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This reques"
3,FetchPickAndPlace-v4,50068,anthropic,claude-opus-4-7,all,0.6,0.85,0.9,0.8,1,1.38,0.7,0.43,0.2,-0.3,-0.5,-1.0,At the critical moment the gripper was hovering above the table without descending onto the block; it should have moved 
3,FetchPickAndPlace-v4,50068,anthropic,claude-sonnet-4-5,narrative,0.95,0.8,0.6,0.4,1,,,,,,,,Return to the black cube's position and close the gripper to grasp it before attempting to move to the target location
3,FetchPickAndPlace-v4,50068,anthropic,claude-sonnet-4-5,action,0.82,,,,1,,,,0.6,-0.3,0.0,-1.0,"The robot needs to move toward the red sphere target (positive x, negative y) while ensuring the gripper remains closed "
3,FetchPickAndPlace-v4,50068,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.85,0.9,0.7,1,1.36,0.73,0.55,,,,,"At the halfway point, the object should be lifted well above the table and moving toward the target xy-position to allow"
3,FetchPickAndPlace-v4,50068,anthropic,claude-sonnet-4-5,all,0.92,,,,1,1.34,0.73,0.5,0.65,0.15,0.45,-1.0,The robot should have grasped the block and begun lifting it toward the target position instead of retracting without th
4,FetchPickAndPlace-v4,50085,anthropic,claude-opus-4-7,narrative,0.8,0.85,0.8,0.6,1,,,,,,,,"Instead of retracting the arm upward and away from the block, the robot should have lowered the gripper onto the block a"
4,FetchPickAndPlace-v4,50085,anthropic,claude-opus-4-7,action,0.6,,,,1,,,,0.6,0.2,-0.8,-1.0,The arm moved up and away from the block instead of descending to grasp it; it should move toward and down onto the bloc
4,FetchPickAndPlace-v4,50085,anthropic,claude-opus-4-7,achieved_goal,0.0,,,,0,,,,,,,,"VLM call/parse failed: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This reques"
4,FetchPickAndPlace-v4,50085,anthropic,claude-opus-4-7,all,0.7,0.45,0.5,0.7,1,1.3389878273010254,0.8850302696228027,0.5459770560264587,0.6,0.3,-0.4,-1.0,At the midpoint the arm has retreated upward and away instead of descending onto the block to grasp it; it should move t
4,FetchPickAndPlace-v4,50085,anthropic,claude-sonnet-4-5,narrative,0.95,,,,1,,,,,,,,"The robot should have closed its gripper on the block before retracting upward, as it lifted without grasping the object"
4,FetchPickAndPlace-v4,50085,anthropic,claude-sonnet-4-5,action,0.85,0.6,0.2,0.7,1,,,,0.0,0.0,-0.6,-1.0,"At Frame 2, the robot arm has retracted upward without grasping the block; it should move downward toward the block and "
4,FetchPickAndPlace-v4,50085,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.7,0.75,0.6,1,1.34,0.88,0.65,,,,,"At the halfway point, the object should be lifted well above the table and moving toward the target position to allow su"
4,FetchPickAndPlace-v4,50085,anthropic,claude-sonnet-4-5,all,0.92,0.75,0.3,0.8,1,1.34,0.75,0.43,0.0,0.0,-0.8,-1.0,The gripper should have descended to grasp the block while closing instead of retracting upward without securing it.
5,FetchPickAndPlace-v4,50102,anthropic,claude-opus-4-7,narrative,0.8,0.9,0.6,0.5,1,,,,,,,,"The robot should have lowered the gripper down onto the black block and closed its fingers to grasp it, instead of hover"
5,FetchPickAndPlace-v4,50102,anthropic,claude-opus-4-7,action,0.6,0.3,0.2,0.4,1,,,,0.0,-0.2,-0.4,-1.0,The gripper is hovering above and slightly left of the block; it should move down and slightly right (-y) onto the block
5,FetchPickAndPlace-v4,50102,anthropic,claude-opus-4-7,achieved_goal,0.7,0.4,1.0,0.5,1,1.4445830583572388,0.8422929644584656,0.4248922169208527,,,,,"At the midpoint, the block should already be at the desired goal position on the table so the remaining trajectory can s"
5,FetchPickAndPlace-v4,50102,anthropic,claude-opus-4-7,all,0.7,0.6,0.3,0.8,1,1.3,0.75,0.43,0.0,0.0,-0.8,-1.0,At the midpoint the gripper is hovering above the block instead of descending to grasp it; it should move straight down 
5,FetchPickAndPlace-v4,50102,anthropic,claude-sonnet-4-5,narrative,0.95,0.9,0.7,0.4,1,,,,,,,,The robot should have closed its gripper to grasp the black block before attempting to lift it.
5,FetchPickAndPlace-v4,50102,anthropic,claude-sonnet-4-5,action,0.85,0.4,0.2,0.7,1,,,,0.0,0.0,-0.6,-1.0,"The gripper is positioned above the block but needs to descend to grasp it before attempting to lift, and the gripper mu"
5,FetchPickAndPlace-v4,50102,anthropic,claude-sonnet-4-5,achieved_goal,0.85,0.9,0.95,0.8,1,1.445,0.842,0.5,,,,,"At the halfway point, the object should be lifted above the table and positioned horizontally near the target to allow t"
5,FetchPickAndPlace-v4,50102,anthropic,claude-sonnet-4-5,all,0.85,0.5,0.2,0.7,1,1.34,0.75,0.5,0.0,0.0,0.0,-1.0,The gripper should have closed firmly on the block while positioned directly above it to secure a grasp before attemptin
6,FetchPush-v4,60000,anthropic,claude-opus-4-7,narrative,0.7,,,,1,,,,,,,,The robot should have lowered its end-effector to table height and approached the black block from its right side so it 
6,FetchPush-v4,60000,anthropic,claude-opus-4-7,action,0.6,0.85,0.9,0.8,1,,,,-0.3,-0.5,-0.2,1.0,The end-effector is to the right of and above the black block; it should move left and down toward the block to push it 
6,FetchPush-v4,60000,anthropic,claude-opus-4-7,achieved_goal,0.7,0.3,1.0,0.4,1,1.3157259225845337,0.7196225523948669,0.42489221692085266,,,,,"At the midpoint of the episode, the block should already be at (or essentially at) the target location so the remaining "
6,FetchPush-v4,60000,anthropic,claude-opus-4-7,all,0.6,,,,1,1.32,0.72,0.45,-0.3,-0.5,-0.4,-1.0,At the critical frame the gripper is hovering above and behind the block; it should descend and move toward the block's 
6,FetchPush-v4,60000,anthropic,claude-sonnet-4-5,narrative,0.85,0.7,0.6,0.4,1,,,,,,,,"The robot should have descended vertically to make contact with the black block and push it toward the red target, inste"
6,FetchPush-v4,60000,anthropic,claude-sonnet-4-5,action,0.85,0.3,0.1,0.5,1,,,,0.0,0.0,-0.8,1.0,The robot arm is positioned too high above the table and needs to descend to make contact with the block for pushing.
6,FetchPush-v4,60000,anthropic,claude-sonnet-4-5,achieved_goal,0.85,,,,1,1.29,0.72,0.425,,,,,"At the halfway point, the object should be nearly at the target position to allow fine adjustments in the remaining time"
6,FetchPush-v4,60000,anthropic,claude-sonnet-4-5,all,0.85,0.85,0.95,0.7,1,1.28,0.72,0.425,0.4,0.0,-0.6,1.0,The robot should have moved downward and forward to make contact with the block instead of remaining elevated above the 
7,FetchPush-v4,60017,anthropic,claude-opus-4-7,narrative,0.8,0.8,0.75,0.5,1,,,,,,,,"Instead of moving the end-effector away to the right past the table, the robot should have lowered down behind the block"
